HMV Group,HMV,3157572,,112.000000,
Spectris,SXS,0330860,FTSE 250,364.000000,
Monks Investment Trust PLC,MNKS,3051726,FTSE 250,152.000000,
Weir Group,WEIR,0946580,FTSE 250,221.000000,
JJB Sports,JJB,0468523,FTSE 250,189.000000,
Capital Radio,CAP,0174239,FTSE 250,545.000000,
Wolverhampton & Dudley,WOLV,3122945,FTSE 250,602.500000,
Templeton Emerging Markets IT,TEM,0882929,FTSE 250,96.750000,
Smith (DS),SMDS,0822011,FTSE 250,137.000000,
Stanley Leisure,SLY,0841102,FTSE 250,349.500000,
Carpetright,CPR,0177294,FTSE 250,578.500000,
Brake Bros.,BKB,0119274,Ineligible,822.500000,
PHS Group,PHY,3056497,FTSE 250,83.000000,
Taylor & Francis Group,TFG,0274258,FTSE 250,497.500000,
Tempus Group,TSG,0160409,Ineligible,564.000000,
Stagecoach Group,SGC,0414667,FTSE 250,32.000000,
Jarvis,JRVS,0471350,FTSE 250,296.500000,
Marshalls,MSLH,0568412,FTSE 250,249.000000,
New Look Group,NEW,0276094,FTSE 250,207.000000,
Yule Catto & Co,YULC,0988742,FTSE 250,282.000000,
Bovis Homes Group,BVS,0185929,FTSE 250,353.000000,
Selfridges,SLF,0291978,FTSE 250,266.500000,
Punch Taverns,PUB,3155286,,162.500000,
Coats,CO.,0927057,FTSE 250,56.750000,
Aggreko,AGK,0147899,FTSE 250,149.000000,
CMG,CMG,0384737,FTSE 250,63.500000,
City Of London Investment Trust,CTY,0199049,FTSE 250,190.750000,
Intermediate Capital Group,ICP,0456443,FTSE 250,661.000000,
London Merchant Securities,LMSO,0044451,FTSE 250,120.000000,
London Merchant Securities (Dfd),LMSD,0139915,FTSE 250,115.000000,
Second Alliance Trust,SAT,0787400,Ineligible,1992.500000,
Waste Recycling Group,WRC,0941767,FTSE 250,323.500000,
Interserve,IRV,0152815,FTSE 250,334.000000,
TBI,TBI,0566085,FTSE 250,67.500000,
Redrow,RDW,0728238,FTSE 250,238.500000,
Minerva,MNR,0595368,FTSE 250,233.000000,
Edinburgh US Tracker Trust,EUS,0029362,FTSE 250,416.500000,
Westbury,WBY,0953687,FTSE 250,328.000000,
Game Group,GMG,0736015,FTSE 250,97.750000,
DFS Furniture Co,DFS,0242437,FTSE 250,349.000000,
Powderject Pharmaceuticals,PJP,0041838,FTSE 250,405.000000,
Greggs,GRG,0385804,FTSE 250,3062.500000,
Derwent Valley Hldgs,DWV,0265274,FTSE 250,685.000000,
VT Group,VTG,3172973,FTSE 250,212.500000,
Forth Ports,FPT,0347310,FTSE 250,790.000000,
British Assets Trust (Ord),BSET,0129756,FTSE 250,101.250000,
Geest,GET,0363781,FTSE 250,472.500000,
St.Ives,SIV,0768900,FTSE 250,342.500000,
Bodycote International,BOY,0689562,FTSE 250,135.500000,
South Staffordshire Group,SSF,0727990,FTSE 250,554.000000,
McAlpine (Alfred),MCA,0564539,FTSE 250,319.000000,
